,text,
1622,In #WinterWonderland in #London and #klaine baby it's cold outside was playing when walking around so happy right now 🙂🙂🙂🙂,
1625,London: Today started dull with light rain. It has now brightened up and raised our spirits. Going to Brackendale Tennis Club this evening.,y
1629,"@darthmongoose when you get to london, it turns out you were a prayer ghost all along and fade into mist",
1630,https://t.co/4Zj142gBv5 #HighEnd #LondonFog #purse #purses #satchel #Christmas #christmascyber2016 #gift #gifts #giftsforchristmas #ebay #ya,
1632,"London is so warm, I've been suffering in Birmingham. 
Thank You Jesus!",
1633,"adalberto Sink the Pink is a raucous, rainbow-hued bacchanal taking over the London club scene with their all-inclusive subculture.

 vazqu…",
1635,"The pale, grudging sunshine of London in December, a light wan yet intimate.—Anthony Powell, The Soldier's Art",y
1636,#puccaso #flying to #cork in the #fog and #drizzle (at London Stansted... https://t.co/b1Pa0Xwhz8,y
1640,@Bengoa_Marta I hope you get warm weather... and if you ever pass through London do let the trade policy community (@SamuelMarcLowe) know,y
1641,8am: Mostly Cloudy -6.5C - Feels: -14C - Wind: WSW 26km/h - Bar: 101.9 kPa v - Hum: 88% #London #Weather,y
1642,#London Dec 13 13:20 Temperature 13C cloudy Wind S 15 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1643,@esto_es_anfield Thank you and kind regards from a sunny London afternoon. Have a lovely day and enjoy the rest of the season.,y
1644,From meat subscriptions to cheese for Christmas day - we pick out the best Christmas gifts for London foodies… https://t.co/XsMbUZTKo1,
1645,"Access #Narnia via #IceTankStudio 
Entrance by #Wardrobe or Front Door
#StudioHire #Events #GenixImaging… https://t.co/onR4g1564V",
1648,"Chicago trends now: Russia, London in 2017, Dense Fog Advisory, LHHNY and RHOA. https://t.co/utiQ1eFOXQ",y
1653,Do they experience a day in the life of #spycops? Love of an innocent woman; good food &amp; warm bed for free; trained… https://t.co/WqbE0Y2yIX,
1654,Warm welcome to you @ContentAssets/ London &amp; PINT Inc @PINTSD San Diego,
1659,"@Stieglbrauerei Grey London, but I found the sunshine! https://t.co/CEsjbhX3Km",y
1662,"@WEARMeg @weartv yeah, london just called. they'd like their fog back.....",y
1670,What's the deal with London in 2017? Do you fog me? Am I a lieu? Am I an actual calendar? Just what am I?,y
1673,"My job for 4 years 1977-81. Ok in the summer, bloody cold in the winter...... https://t.co/CIl4nkLtOQ",y
1675,9am: Mostly Cloudy -6.6C - Feels: -15C - Wind: SW 28km/h - Bar: 101.9 kPa v - Hum: 86% #London #Weather,y
1678,Please give our new apprentice Daisy a very warm welcome! #solagroup #apprentice #apprenticeships https://t.co/njYGRLmSCP,
1681,"Trending on https://t.co/ZZiJ7Q3ihW:

london
tuesday
in london
exam
emoji
in 2017
coach
aleppo
happy tuesday
goodmorning
fog
rex tillerson",
1683,"How can I get a cold in #Israel, get over it after medicating in #Paris and get a relapse in #London? So sickening!!!",
1684,"""SS portfolio"" of eight etchings by Sir Terry Frost, RA in situ for London shoot for penthouse apartment in the gam… https://t.co/8llrrTR2ir",
1686,@djfindus Dallas is covered in a thick layer of fog at the moment. Looks like old pictures I've seen of Victorian London. (Except modern.),y
1688,And looking forward to temperatures not so cold too! https://t.co/uN2NS2N7G3,y
1689,"View south down Tower Bridge Road in the low sunshine 

#London #towerbridge #England @ London,… https://t.co/S3ZZZaFJ9r",y
1690,@Dr_Rowmix Thank you so much for these kind words. Sending you lots of of love from cold London. Kisses,y
1693,"SUNSHINE • MEDITATION 
I literally feel recharged by both! Sun just coming out in London now 😍🌤 for a minute 😏😎🏃🏻‍… https://t.co/vqjAIU7GxN",
1694,"#London #NewJob Fund Administrator, required for growing investment organisation,£30k + warm envirn + grt bens corrief@reeracsolutions.com",
1696,"London: December 13, 2016 at 09:19AM - Light Rain with a high temperature of 13. #Weather #UK",y
1699,London skyline looking like we're not close enough for it load. #fog,y
1701,More Snow Chances for New London and Severe Cold in the Forecast https://t.co/iNNFr4CWFg,y
1704,"My parents are from Manchester but I was brought up in London, Camde... #SadieFrost #citations https://t.co/d7mXzPNpGX",
1712,"#London Dec 13 14:20 Temperature 13C cloudy, Haze Wind S 15 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d",y
1713,"Is this London's wildest party?: Sink the Pink is a raucous, rainbow-hued bacchanal taking over the… https://t.co/jTqhW5rhaM #Skibabs360",
1714,"Is this London's wildest party?: Sink the Pink is a raucous, rainbow-hued bacchanal taking over the London club… https://t.co/RDhCXxnEGD",
1715,MIT Sloan Office of International Programs is proud to be co-hosting this remarkable discussion.  Thank you London… https://t.co/f43JUGGwQq,
1718,"London grey, warm and drizzly, the stereo at the @CampusLondon cafe playing Bowie, feeling reflective. #2016",y
1721,Research On Chinese Haze Helps Crack Mystery Of London's Deadly 1952 Fog #health https://t.co/Y5v2xkcNaE https://t.co/iWNy5JNW8r,
1723,"Someone in the outside London world near Kings X, is it raining? I can see outside and it looks wet and gloomy but it has all day.",y
1726,"@Hawsey666 end of the month , I wanna hail on of London's finest  , no cash , iv only my credit card ! what should I do ? download uber?",
1727,▶@DJmag: DJ Mag Live Presents Warm Up London: Frankey &amp; Sandrino https://t.co/W6N5AuswNu,
1728,"Is this London's wildest party? - Sink the Pink is a raucous, rainbow-hued bacchanal taking over the London clu... https://t.co/QvuGDGdzsp",
1732,She can't go to London it's too cold. She'll Too easily get sick with Her emphysema,
1733,@michkeegan London bound with the lovely warm @LipsyLondon poncho 👌😍😘 https://t.co/USJGxzGWY1,
1736,I literally forgot how cold London weather is mann kmtt,y
1738,"Stuck in another rainy traffic jam in London. But i 've got the best seat in the bus, it's warm, and I'm listening… https://t.co/qZH6lZX2uW",y
1740,"Sunshine Models - Promotional Model Agency, 71-75 Shelton Street Covent Garden London, WC2H9JQ,United Kingdom, 0207… https://t.co/mQ7aLV2yM5",
1741,"There's so many pigeons in London! Today the sky is grey, the streets are grey, the trees look… https://t.co/ggJXhwklSm",y
1742,We're not #southernstrike https://t.co/NZN3ZZloUM,
1743,The current weather in #London this afternoon: Cloudy. The temperature is 13°C with a 13km/h wind from the Southwest.,y
1745,The temperature is 12C and currently/forecast light intensity drizzle rain in #London @ Tue 15:05:02GMT,y
1746,#London Dec 13 14:50 Temperature 13C cloudy Wind S 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1748,@travel_jems Oh wow! That sounds great! I'm currently trying to stay warm in London so will be living vicariously through your sunny photos!,y
1751,"Fog in the Southern Rail channel, London isolated!",y
1752,https://t.co/RGHZIG1J0t,
1759,The Big Wobble: London's ancient water system collapses causing massive flood destruction just days before Christmas - (1/2),
1760,Really happy to be featured by @PhaseOnePhoto thanks again to everyone! @AssocPhoto #streetphotography #proimaging https://t.co/gtUPBk64a1,
1761,#Goodmorning from sunny #London ☀️ It's studio day 😈 #JimmySion #newsong #newmusic #newsingle #recording… https://t.co/EufptddDAh,y
1762,"Braving the 2°C morning frost at Regent's Park, London, in this stunning cape gown that truly illuminates the day. https://t.co/xOQfliTaey",
1764,Please let us know if this is of interest to you we can show you around the Elite showroom in London https://t.co/Cb7ROdtl3W,
1771,"Back in London for one week update: it's still cold ☃️
📷 Pinterest @ London, United Kingdom https://t.co/z72v0wFdM9",y
1772,Kids in London probably think the sky is grey until they go to other places,y
1773,London wasn't that cold as I thought. https://t.co/QLwnfhtUqo,y
1774,@clif_high  some fog expected here this weekend in London.,y
1775,Caught today's last rays of London sunshine @ Victoria Tower Gardens https://t.co/7x3k9PGDOR,y
1779,Sunchasers - Sunshine in London #NowPlaying on @energy_fm. Listen now at https://t.co/Px4ee4Sfml,
1784,@ianpertwee I get enough snow and cold in London to make old wounds act up. Don't want to deal with it in the tree.,y
1785,#London Dec 13 15:20 Temperature 13C cloudy Wind S 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1794,"The raucous, rainbow-hued bacchanal that's bringing London together https://t.co/TOD8NnKyKp https://t.co/yVtFTp4My7",
1795,London weather so cold,y
1797,"Even on a cold, wet, disappointing day in December... London is beautiful!
#LoveLondon https://t.co/YHOoT46G7j",y
1800,"cnni: The raucous, rainbow-hued bacchanal that's bringing London together https://t.co/c8DFT2hi0u https://t.co/AJ7OilNBMn",
1810,"Maejor Ali - Lolly (Explicit) ft. Juicy J, Justin Bieber cold day London #London #21+ https://t.co/y61lbEc4O4",
1811,"@judah47 We have to keep remembering it is still only mid December! But werid warm in London, 56F! Give that PV a push.",y
1812,#London weather now: Cloudy and 13 C. For tomorrow's weather: https://t.co/0csCbPZQXv . Goodnight and good evening from D &amp; A Binder!,y
1813,"current weather in London: light intensity drizzle, 12°C
93% humidity, wind 4kmh, pressure 1019mb",y
1814,"Cloudy in London at sunset, December 13, 2016 at 03:51PM.",y
1817,"@bbcsoutheast I hail from London, now in Lincs.Grayling should try driving a train and collecting fairs. Not possible even on a single car.",
1819,@debrabrown_ Then I'm back to (London) rain/fog tomorrow . No biscuits or wine here - trying to lose a few lbs before Xmas!,y
1825,@Zak_Bagans Merry Christmas from London Uk! 😊 that should make you a little warm inside 👍😀🎅🎄,
1828,“Investing in transport such as the night tube will ensure that London continues to compete as a major global city.… https://t.co/PQOZf3h7ge,
1834,#London Dec 13 15:50 Temperature 13C cloudy Wind S 11 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1835,SECOND STOP @WaterstonesPicc it's nice and warm in here! Next stop Mog wants to visit a Winter Festival in Central… https://t.co/tJT03eJm3E,
1842,"I think, that was a short winter in London. It's already too warm 🤔 Globalwarming has its positive sides,too. 🙊

#globalwarming",
1845,Scientists say they've solved mystery of 1952 London killer fog https://t.co/DdWeG8EMyr,
1847,I can tell that amsterdayyyymmmmm!! Is cold but London is sooo cold right now.PS:Showed my whole friends ur tentoes… https://t.co/ckce17gthN,y
1853,Scientists say they've solved mystery of 1952 London killer fog https://t.co/lX31Ar0Sk2,
1854,Once upon a time when London had snow ❄️ #snow #London #winter #winterwonderland #cold #white… https://t.co/4oOjRIoqjT,
1855,"Dr. White is having a book signing tomorrow ""Sunday"" ""Breaking thru the Fibro Fog"" at Chapter's Wellington rd. London from noon to 3",
1857,Baby it's cold outside 🎠 #throwback #london #uk #christmas #museum #naturalhistorymuseum… https://t.co/kKnqcvZ5oS,
1859,The temperature is 12C and currently/forecast mist in #London @ Tue 16:20:01GMT,y
1861,"Y'all.. I stood in line in the cold, many moons ago in London, to have my copy of Bad As I Wanna Be by @dennisrodman signed.",
1862,"a rainbow of @davidduchovny live at union chapel, london, during his hell or highwater tour, 6.5.16 https://t.co/3WHjtGXZUS",
1865,"Frosted Leaf
London McCormick Photography - owner
New England has fallen at night into 11 degrees. Frost has surely… https://t.co/iOHvnNfejG",
1868,"London: Bar - Block 15 Releases Winter Seasonal: Cosmic Cold Brew, C...https://t.co/N4f2cG79tv #bar",
1869,"""Building on fenchurch St that killed the cars with the sunshine"" how I just described the walkie talkie 😂 #city #london #cityoflondon",
1870,Mens Camden Town London Print Hooded Sweatshirt Warm Zipper Hoodie Top https://t.co/jwo1YwonLn https://t.co/DJw8fssdfs,
1871,Another photo from London on Friday. #bigben #londonbaby #bustour #cold #westminstercity #sky… https://t.co/tWDGSjIwlR,
1873,"Fireplaces, snug sofas, warm brews, real ale and hearty food. See you tonight?🎄🍻 https://t.co/oAp4jBcCS4 #pubs… https://t.co/1Ih8qmATti",
1883,You don't need sunshine for bright colours... London's got it covered! https://t.co/CqUh11BA2I,y
1885,Thank you for coming to visit us Mog! Enjoy the Winter Festival #MogAtChristmas https://t.co/oF7ahyw3sM,
1891,I MISS THIS https://t.co/YWCABFfniX,
1893,:') https://t.co/N0tztoUshD,
1895,#London Dec 13 16:20 Temperature 13C cloudy Wind S 17 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1896,"#WJZ AT NOON: Controversy over Secretary of State pick, Ravens head to London, &amp; Cold blast causes dangerous conditions. @cbsbaltimore",
1901,"LondonFog, we took a look at your product reviews: https://t.co/3487fEaq3G",
1912,⛅️ a brief moment of #London #winter #sunshine 🌤⛅️🌥 Thanks @burnhamniker @sheilamu… https://t.co/3DOgHQQ59O,y
1917,Not unless you open in #SE18 pref. #Plumstead which is ripe for #gentrification #regeneration &amp; cheap compared to o… https://t.co/6g9Tn3GMfC,
1937,Enter the fog-filled London streets of the 1890s with #Sherlock Holmes? https://t.co/HS4vmRlHne,
1940,Missing #summer #baby #its #cold #outside #london #streetstyle #men #mensfashion #stylist #style… https://t.co/Gv3efi8hkl,
1942,Wasting a wish on that disastrous franchise  im afraid stop pouring public money into private pockets with appallin… https://t.co/JrjXctJVBc,
1947,Scientists say they’ve solved mystery of 1952 London killer fog https://t.co/YvEnDT9jGF,
1950,This is needed today! So cold! #winterskin https://t.co/1tKyUPRXNJ,
1952,"Politiet har beslaglagt bedrageri-mistænkts villaer i London, dr.dk: https://t.co/X0NHj6FY8X",
1955,#London Dec 13 16:50 Temperature 13C cloudy Wind SW 17 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
1959,"Love the boats, but they just don't look quite as stunning on slate grey water against a slate grey sky #bluesky… https://t.co/bap5tbrTFt",y
1967,@LizHabib in the mist of the fisher fired yesterday the Dodgers brought back kenley and Justin Turner oh btw next year Rams in London,
1969,https://t.co/MJwi2iH77t,
1970,@karengillan Raining and no trains stay away from London Karen  xxx,y
1971,I'll be in central London preparing for a very special day. All @SnaresbrookPrep will just have to sing louder to t… https://t.co/H1OuH4nnqS,
1973,Landed in London. It's fucking raining. Whats crackin' internet?,y
1975,"Coal Emissions Found in the Mysterious, Deadly 1952 London ‘Killer Fog’ https://t.co/GsW3n2yMdY https://t.co/fdth9WgHfT",
1976,"Stay warm out in London this winter with our top picks of this season's stylish coats ❄️ #coat #winter #fashion

https://t.co/j57rbugmnt",
1979,Warm up on a winter terrace with my @TelegraphLuxury guide to London's coolest #Christmas pop-ups https://t.co/UIWP8JHMsv,
1982,Rearchers dive into the science of London's deadly fog #amreading https://t.co/lJ5tU4IzRB via @SmithsonianMag,
2022,"- Ivy -

Back in cold, rainy London after a week away in the sun.

Definitely still in holiday mode, although it do… https://t.co/ohGHmfGB08",
2029,Having to walk 2 blocks in the dark &amp; cold to do my online banking on my phone because @o2 can't provide service in central London #shameful,y
2031,#London Dec 13 17:20 Temperature 12C cloudy Wind S 13 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
2035,"Icy mane in the cold Yorkshire countryside. 

One of the things I miss in London is horses and… https://t.co/jRsSXUFkDP",
2036,"I will be pouring some Ailsa Bay #SingleMalt #Scotch later today at #WhiskyBoutique Islington, London N1 1TP.… https://t.co/iou3DruuPr",
2046,"@thelaurengraham Come on, gaaawgeous, cheer up this flu -infected-sinus- bout2-explode misog on this rainy, cold miserable eve in London! 😷",y
2050,@AlabedBana  how is in London weather today..rainy or still carpets of fog,y
2054,London greeted me with grey skies and drizzle...but that didn't make… https://t.co/Ewp6sbB8SJ,y
2055,HOODED...#winter #warm #tattoo #boy #park #life #skater #boy #london #life #clothing #streetwear #jumper #trendy #uk https://t.co/Yc3DbYREMa,
2057,@dublinspurs Having a long cold sparkling water at Dublin Airport on the way to London for the Spurs match tomorrow. @SpursOfficial #COYS!!,
2062,It will be a lovely event! I've got a stinking cold and can't go as also London looms. Enjoy! (I've sent you an ema… https://t.co/mUVovoxD6f,
2063,"@RenaLovelis send this to me, you'd think that in London it'd be snowing but alas it isn't",
2065,"New #job: Internal Account Manager/ Inbound Sales - No Cold Calling  ,North London .. https://t.co/KprDu7QLkv #salesjobs",
2070,@wwrpunk Can't wait for @americfootball to swing by as a London warm up date so I can see them two nights running.,
2075,"Winter health tips Winter is here and boy, is it cold! The temperatures in London hav https://t.co/7B96DBhIS2 #muslimah #mb #grainsandgains",y
2076,Repost @kennyhostylist  Raining in London today .... @jon_hosking Art direction… https://t.co/dPgvWTqF6Y,
2089,In case... y'all need gift ideas for me. https://t.co/wp5lRRRcoO,
2090,London you are cold and grey ....I need some sun and palm trees ...😞,y
2091,Stoke Newington flood: 150 north London homes under water https://t.co/5lkOh1PqgS,
2097,Thanku Qbic #hotel #eastlondon #London for looking after us today awesome fish finger sarnie &amp; warm mince pies with… https://t.co/koJYXxIXOG,
2104,Understanding air chemistry clarified London’s lethal fog &amp; is key to effective regulatory actions of #emissions https://t.co/AyDgSN38na,
2105,Ready for a warm &amp; cosy Christmas 2016 🌟#christmasstyling #london #florist https://t.co/yscJmjUkyi https://t.co/A9gDqA7y6O,
2107,"Unfortunately, none of this is relevant to today, there are no acute deaths due to air pollution in decades in deve… https://t.co/3kckQUXRdI",
2112,El evento es a las 19.00 de London osea a las 20:00 de aqui que te jodan Blizzard esto se avisa xD,
2126,This was the subject of an episode in the great series @TheCrownNetflix https://t.co/Y5noE3wWh5,
2133,@SyafiqRadzi16 all hail London 🙌,
2134,Almost every time a lunar phenomenon occurs it is raining or cloudy in London?! 😒 hope its clear! I want to see the #DecemberSuperMoon #14th,
2141,@TAMU research in the news- love it! 👍 https://t.co/rw8uYwyhCQ,
2144,"Drumpf to world: ""More of this."" https://t.co/xNCFZ0DyUn",
2146,Thank you @SouthernRailUK 🏍 Had to ride to central London in pouring rain💦 Exhilarating as always on two wheels❗️ https://t.co/Dx4WuKbdjC,
2151,I thought this was explained on #PennyDreadful. https://t.co/GzGnt00nJS,
2155,@mwuahlauren just realized the company hosting it is based out of London lol... I guess this is probably warm for them 😅,
2168,@Daddypundit Haven't read it yet but Shelley and I were just talking about this re: The Crown https://t.co/XQh27M0813,
2169,Got such a bad cold that I wasn't gonna be able to come tonight then this happens 🙏🏼🙏🏼 #blessed https://t.co/SBTrHsesE9,
2171,@rachaelhxx avery good evening rachael how are you to night its very cold down here in London keep your self warm ok,y
2173,"In #london go @OrangeBuffalo and grab yourself some #wings , got a cold or like the taste of #fire get some viper d… https://t.co/5917LVJ3v6",
2179,"LondonFog, we took a look at your product reviews: https://t.co/Jm5XcqYtyk",
2186,"*WHAT ARE YOU GRATEFUL FOR?* 

Hi guys, enjoying a sunny day in South London today and I just thought I will do a... https://t.co/0gFpc29jKu",
2189,Can Virgintrains please sort out the aircon on Manc-London route. 2 trains in 2 days twice sat with coat &amp; hat on getting cold @Virgintrains,
2198,#London Dec 13 18:50 Temperature 12C cloudy Wind S 17 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
2200,#Theo2 #theo2arena #eastlondon #london #east #northgreenwich #greenwichmeantime #greysky #cloudy… https://t.co/jJHZiTpYbi,y
2201,"Ha I have coat!

#london #cold #coat #lights @ London Heathrow Airport - LHR https://t.co/FkNu5aY3Jx",
2202,Fulham team run out to warm up on a drizzly night in West London https://t.co/8oR2nTiGZw,y
2205,"Wow, awesome effects from the #Shard tonight! It's looking pretty cool in the fog. #London #Festive https://t.co/XL1Jap2NRg",y
2208,@VirtualAstro Cloudy in London 😠 but should be clear skies tomorrow 🙏,y
2210,Dick Branson wants to flood Europe with migrant scum. We must boycott all of his businesses. #branson #virgin… https://t.co/j6Z5wUrLHO,
2219,"After being knackered and waiting over half an hour in the cold for a bus, I think I'm over London",y
2224,Driving around London with half our Christmas tree sticking out our car roof... It's also started bloody raining...,y
2238,@reggaebeachskb  wish I was their it cold and wet her #London,y
2241,@KenCarman Ken people in London are waking in a cold sweat fearing London Bridge will fall down when you visit London for the Browns game,
2247,#landed at a very #foggy #stansted #airport 🌫🛬 #London #weather #fog #stansteadairport #misty… https://t.co/Bwe0Jpdc2k,y
2252,£3.89 with FREE delivery in the UK. Cold London Blues :: Paul D. Brazill books :: BOOKS etc https://t.co/D0CfjyVFRK,
2253,£3.89 with FREE delivery in the UK. Cold London Blues :: Paul D. Brazill books :: BOOKS etc https://t.co/oRgX2L6ppH,
2256,"@ashshanuferns no way, I'll be back in cold London by then",y
2257,@MoSnoking Nice! altho it was mild here the other week &amp; i didn’t like it. i quite like the super cold winter as london winters are so dull,y
2259,When you wait 1h20 hours in the cold - totally worth it @BreakfastClub #london #breakfast #brunch https://t.co/pk7x4m88ta,
2260,Christmas is next weekend and London is warm as shit right now.,y
2264,When you wait 1 hour in the cold - totally worth it #BreakfastClub #london #brunch https://t.co/fT35N6I4Rp,
2265,My favourite kind of day a sunny crisp and frosty winters day #fotd #ootd #winter #london… https://t.co/a9xpLyO1qt,y
2267,@ccfcfan @clare_a_bel Got 1 too &amp; would rather go to work. Sit in the cold or sit in a warm van in horrific Central London traffic. 1 winner,
2269,In the past 170-odd years there have only been 19 white Christmases in London. Interesting blog post from… https://t.co/TceEX1tzlJ,
2270,london better be sunny the whole day tomorrow bc im going to winter wonderland,y
2274,@CJ_covblaze @ccfcfan London traffic 😳 gosh that's a bit too much. I'd prefer the sitting at home in the warm bit 😄,
2283,"@PaulTweets2Much London? Cold, wet and whatever makes your lips look like bacon strips",y
2288,"When its cold and wet you just think is he warm &amp; dry
#FindRolo 13/12/14 #London area Loved &amp; Chipped
#ScanMe
https://t.co/Gx5tQE7jVM",y
2289,raining and cold as always https://t.co/zE1zC6z3c0,y
2290,The temperature is 11C and currently/forecast light rain in #London @ Tue 20:05:02GMT,y
2291,"When its cold and wet you just think is he warm &amp; dry
#FindRolo 13/12/14 #London area Loved &amp; Chipped
#ScanMe
https://t.co/SUjCozG49L",y
2299,"When its cold and wet you just think is he warm &amp; dry
#FindRolo 13/12/14 #London area Loved &amp; Chipped
#ScanMe
https://t.co/k5fF4U3Phb",y
2301,"LondonFog, we took a look at your product reviews: https://t.co/Y1JhFSFHLY",
2302,#London Dec 14 08:20 Temperature 7C fog in patches Wind NE 6 km/h  Humidity 95% weather UK .. https://t.co/8Efr4sIg5d,y
2304,"@IMAO1988 Yes! But I exercise and eat healthy so I look only 91 ;-)
How are you? I'm in London now. Cold...sorry it takes me long to reply",
2307,"A sunny ""see you later"" sendoff.  Time to go home.  #sunrise #sunshine #London #cheerio… https://t.co/FQzuTc7xl1",y
2309,Alex Chinneck's 'Ice' sculpture in Granary Square looking good in the early morning winter sunshine… https://t.co/ibDpT2WNOV,y
2310,"A warm welcome to former pupils &amp; friends of @StrathallanSch, who are holding their London Carol Service at Crown C… https://t.co/VbBRfxTtAk",
2312,Out for a jog in London this morning and see this sunrise shining through the morning fog 😊👌 Have a good day all!… https://t.co/PCHmBwS4Fs,y
2313,London wake up with beautiful foggy blancket ....so romantic 😍😍 https://t.co/Y0RgKm8kWz,y
2314,"...

#london #londonlife #streetphotography #street #streetart #clouds #cloud #cloudporn #cloudy… https://t.co/qVg7BfrFCk",
2315,HOODED...#winter #warm #tattoo #boy #park #life #skater #boy #london #life #clothing #streetwear #jumper #trendy #uk https://t.co/k0Tpfh8SXh,
2319,Wow! #london #winter #sunrise #fog #dailydogwalk https://t.co/jtQniXwkrc https://t.co/ZbPiGcIlzO,y
2326,Foggy morning in London. https://t.co/oWNzXOU1U0,y
2327,"Tonsillitis AND a cold, all at once. London, I hope you're ready for this!",
2329,Great #commute this morning with #sunrise over #London with #cranes and morning #mist at Green Park. https://t.co/FajU7z1zgQ,y
2331,"Stunning train ride into London today. The countryside drowning in fog, bathed by  the sunrise. Wish I could have taken a pic!",y
2332,Another misty morning over the Thames barrier #travel #london #fog #sunrise #clouds @ Thames… https://t.co/dRYMZR3KVV,y
2334,"@TomHall LOL. Not cold in London, UK but SO wish was in the cold as fuck area... well, cold... any kind of freezing cold. Not Xmas otherwise",y
2337,"Intranational labour market protectionism, Bristol vs London @Uber edition: https://t.co/HBnuf5wOas",
2338,This should keep the man in your life warm through #Winter #ShopIndependent #Peterborough this #Christmas… https://t.co/HNy3BuBiXs,
2343,Pretty 😍 https://t.co/myBYtM9t5S,
2348,Definitely worth visiting the #WhiskyBoutique Islington. Dram-atic Celtic genius and very warm and insightful welco… https://t.co/m8Bb9FO6lE,
2350,"Back in London on a grey rainy day ❤
Until next time Australia..",y
2353,.Convenient distraction from the utter shambles of May's #Tory govt in London #Brexit https://t.co/H0BAum4w9d,
2355,Cold London Blues by Paul D. Brazill | Waterstones https://t.co/0Otsr6nfOm,
2357,Foggy but clear morning #fog #winter #December #London #instadaily #lifestyleblogger https://t.co/BW2NGxdUVg,y
2358,Unfortunately ''tis the season. Cold nights &amp; poor health. #London https://t.co/jYzICQjH3k https://t.co/GeR2xKylFq,
2360,London will make you Rap in the cold 😂My best friend ola_wal3 &amp; I is what I choose to call this… https://t.co/mNCiisEEKk,
2361,#Flood hit residents pitch in to build makeshift barricade after deluge https://t.co/98D1wp0QEX,
2367,Come down to @DukesMeadows and make the most of the warm weather #golf #sunnyday #london #wednesdaymotivation https://t.co/P08qjCd0Va,y
2368,Enjoying the IET synthetic biology meeting and surprisingly warm weather in London. Thanks for the invite @rikitney @PaulFreemont,y
2369,This is London. the sky of London. #mymemoriesinoxford #england #theuk #dark #london #bigben… https://t.co/QXgIhg9Y0s,y
2370,If you're a SW resident you're in luck - @BullStreatham has our #BreweryFresh #PaleAle pouring. One of only 3 places in #London who have it!,
2373,#Westminster #mist #london #skyline #photoprint London Skyline City art London photography by AmbiancePhotography https://t.co/eGl1VkQRSt,y
2378,Beautiful Canada Water..... #london #londonlife #cold #beautiful #travel https://t.co/lLG0getLvj https://t.co/NtnySJMdz1,y
2385,A sunny day and I see no reason not to look forward to London on Friday for @FoundlingMuseum and @dr_hick on urban gardens @The_RHS. #treats,
2386,#mist #hampsteadheath #london #walks #breathtaking #mornings #joy @ Hampstead Heath https://t.co/4kmfNswWet,y
2387,"@jonnosoutham @AWSstartups It's getting ""Cloudy"" in London! 
Ha? See what I did there? 
(Sorry, I'll let myself out...)

Great news.",y
2390,"This looks great, people. #art https://t.co/OyLH3tCc6C",
2391,a political statement appropriate to our present situation https://t.co/KK7biOKK5y,
2392,i'll hug so its warm 😂😂😂 https://t.co/nN2ahGRE72,
2397,It was a hot one…like seven inches from the midday sun! Hottest summer I can remember in the UK. https://t.co/tl49IhiQrK,
2399,Prophet #Jesus Pbuh scent of coffee in air/passers by early morning pollution cold wind against my face Just another day in London #Homeless,
2400,Coming down with the cold just in time for London! Just my luck 🖒🖒🖒,
2401,Makeup? https://t.co/GZkADrzvKg,
2402,"And London (eu-west-2) joins the band, looks like it's slightly more expensive than Ireland (eu-west-1) https://t.co/876JboPu5i",
2403,One of the very best things you could do in London this festive season - a relentlessly delightful film https://t.co/vRIVhlzwhS,
2407,"&gt;libdems 

&gt;concerned for banks 

There's no earthly way of knowing which direction we are going, is it raining is… https://t.co/dgBtbVY1jg",
2410,"London (Labrador puppy) meets his new friends this morning 😀Baxter, Finn and Koko give him a warm welcome! https://t.co/G3nNu1R7kH",
2417,she picked up the phone: she's Irish. makes sense. someone being nice/warm towards me on public transport just isn't acceptable in london,
2418,Yep. Here again for Grand Lodge. And a lovely sunny day in London to boot. https://t.co/dFatRLdJxO,
2420,@NetflixUK https://t.co/2TweBMBMWi,
2421,Is it cold outside? What to do in #London on a cold #winter day? Here are nine suggestions! https://t.co/7KtkWYR7Oz,
2422,"@kathryngilmour_ I had a craving for a LF a few weeks ago, so tracked down this recipe: https://t.co/kYrox8sPAH",
2426,@brogantatexo have a great day doll London is looking bright and sunny today you picked a great day x,y
2427,GavLaaaaaaaa: Asencding From Cloud to Fog - https://t.co/eKVPpLnVSv Frommers Portable London Darwin Porter: https://t.co/NuUHpi8MF4,y
2428,@CNPlus are talking about our #Permavoid flood alleviation project for @CountersCreek in #London: https://t.co/8z2w3uMCUK,
2430,"The Thames is most beautiful as the daylight fades, and London's reflection shimmers on its dark waters. https://t.co/dk9Dlzqaw2",y
2432,World Courier joined the 11th Annual Cold Chain Distribution Conference in London to present about the Evolution of… https://t.co/gakrcEoVWL,
2433,#ReCap - #Cause of #London's 1952 #Killer #Fog - https://t.co/Zp5OlkAN5W,
